Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/12/2021,20,24.5,19.67,20.15,-1.85,35,536,836.74%,0.933198577,0.005682964,-1.495578368,0.003525623,0.000567881,23.20000026,52.4,30
02/10/2021,18.25,32.56,18.25,21.48,1.15,39,1184,473.84%,0.955343105,0.005242308,-0.42153088,0.003567874,0.001169041,21.57500025,51.2,30
02/09/2021,26.72,26.72,17.88,20.33,-8.17,218,1179,386.74%,0.950470318,0.005798855,-0.299516241,0.004664086,0.001731924,20.725,50.31,30
02/04/2021,46.3,46.57,28,28.02,-48.99,51,113,460.54%,0.882677119,0.005393087,-0.447223869,0.015576176,0.003884588,26.4,53.5,30
02/03/2021,67.1,77.01,67.1,77.01,9.01,3,108,367.79%,0.990291749,0.000513931,-0.080214464,0.003528665,0.004135357,62.6000002,92.41,30
02/02/2021,106.63,106.63,63.92,68,-134.9,96,107,566.13%,0.949483029,0.001230919,-0.436499071,0.015460619,0.005223646,62.67500134,90,30
02/01/2021,215.25,215.25,202.9,202.9,-93.1,102,5,684.88%,0.988922788,0.000108536,-0.351965874,0.011339311,0.006211302,196.5750011,225,30
01/28/2021,343.35,364.05,343.35,364.05,54.05,10,27,765.77%,0.975921335,0.000187935,-0.5646277,0.022163874,0.007012439,169,193.6,30
01/27/2021,250.75,310,250.75,310,200.95,12,114,530.02%,0.997099153,2.28E-05,-0.104828525,0.006381464,0.008746692,317.9750006,347.51,30
01/26/2021,65.34,109.05,65.34,109.05,57.85,4,140,0.00%,0,0,0,0,0,0,147.98,30
01/25/2021,85,107.51,51.2,51.2,19.75,16,124,338.04%,0.947947808,0.001841905,-0.168761415,0.018088319,0.009661189,48.50000129,76.79,30
01/22/2021,20.5,43,20.5,31.45,17.6,22,124,222.98%,0.956431636,0.002646013,-0.07493597,0.014309545,0.01142954,35.750001,65.01,30
01/21/2021,14.3,14.3,13.85,13.85,3.52,3,125,164.99%,0.862122351,0.012618227,-0.08591458,0.023195187,0.011215297,14.47500188,43.03,30
01/20/2021,11,11,10.33,10.33,-3.25,4,128,180.01%,0.791070956,0.016234353,-0.109139754,0.028149105,0.010315501,11.72500262,39.12,30
01/19/2021,12,13.58,11.5,13.58,3.53,14,122,191.26%,0.786893683,0.015038679,-0.115608247,0.029267625,0.010469765,12.35000174,39.36,30
01/15/2021,11,11,9.15,10.05,-2.57,12,122,181.51%,0.719823001,0.018843856,-0.106113963,0.033032015,0.010674699,9.575002831,35.5,30
01/14/2021,8.81,14.9,8.81,12.62,5.82,36,111,189.34%,0.787536184,0.01360018,-0.105243631,0.032549256,0.012370819,13.27500242,39.91,30
01/13/2021,1.45,10.55,1.45,6.8,5.89,147,15,173.40%,0.631492125,0.024129495,-0.097044074,0.033876267,0.009559478,6.725,31.4,30
01/12/2021,0.91,0.91,0.91,0.91,0.02,1,13,135.07%,0.198516122,0.035470588,-0.034982827,0.016190074,0.002540126,0.730000918,19.95,30
01/11/2021,0.82,1,0.7,0.89,0.44,13,8,150.54%,0.241804064,0.035095928,-0.042954235,0.018409912,0.003065943,1.035,19.94,30
01/08/2021,0.45,0.45,0.45,0.45,-0.12,2,6,132.61%,0.137904244,0.030304216,-0.022640413,0.012057535,0.00179556,0.430000695,17.69,30
01/07/2021,0.54,0.59,0.54,0.57,0,0,6,146.05%,0.188634991,0.032550252,-0.030811115,0.015323652,0.002476497,0.705,18.08,30
01/06/2021,0.54,0.59,0.54,0.57,-0.31,54,50,141.96%,0.192450769,0.032932501,-0.030357841,0.015970316,0.002640622,0.725001594,18.36,30
